"id","name","description","is_active","created_at","updated_at"
"1b68090a-dd51-416d-956d-b8cf18fb3346","Sales","Sales and business development team","true","2025-12-08 11:56:04.296206+00","2025-12-08 11:56:04.296206+00"
"98c00026-03f4-45e5-988e-f9790773a30b","Accounts","Finance and accounting department","true","2025-12-08 11:56:04.296206+00","2025-12-08 11:56:04.296206+00"
"b66574a9-cfad-49e1-a67c-62a64b7023cb","HR","Human resources and recruitment","true","2025-12-08 11:56:04.296206+00","2025-12-08 11:56:04.296206+00"
"eb8cb69b-cce7-4d17-a037-ccc7a880d59f","Customer Service","Customer support and service","true","2025-12-08 11:56:04.296206+00","2025-12-08 11:56:04.296206+00"
"d1730cc8-b5ef-4336-958d-09e7454f00a4","Operation","Operations and logistics","true","2025-12-08 11:56:04.296206+00","2025-12-08 11:56:04.296206+00"
